title,cost,new_used_or_certified,year,mileage,car_make,scrape_date
Used 2022 Land Rover Range Rover SE,175000,Used,2022,"6,500 miles",NaN,11/9/2022
Used 2022 Lexus LX 600 4WD,40700,Used,2022,"8,338 miles",NaN,11/9/2022
Used 2022 Honda Odyssey Elite,140705,Used,2022,10 miles,NaN,11/9/2022
New 2023 Cadillac Escalade ESV Sport Platinum,129756,New,2023,0,NaN,11/9/2022
Used 2000 Ferrari 360 Modena,124000,Used,2000,0,NaN,11/9/2022
Used 2017 Nissan GT-R Premium,123449,Used,2017,0,NaN,11/9/2022
Used 2021 Ford F250 Lariat,122070,Used,2021,0,NaN,11/9/2022
New 2023 Cadillac Escalade ESV Sport,120710,New,2023,0,NaN,11/9/2022
New 2023 Cadillac Escalade ESV Sport,103640,New,2023,0,NaN,11/9/2022
New 2023 Audi SQ8 Premium Plus,101805,New,2023,0,NaN,11/9/2022
New 2023 Cadillac CT5 V Blackwing,99971,New,2023,0,NaN,11/9/2022
Used 2022 Ford F250 Lariat,95115,Used,2022,0,NaN,11/9/2022
New 2023 Audi Q8 Prestige,94820,New,2023,0,NaN,11/9/2022
New 2022 RAM 1500 TRX,91777,New,2022,0,NaN,11/9/2022
New 2023 GMC Sierra 3500 AT4,91545,New,2023,0,NaN,11/9/2022
New 2023 Chevrolet Tahoe High Country,90855,New,2023,0,NaN,11/9/2022
New 2022 Ford F350 4x4 Crew Cab DRW Super Duty,90405,New,2022,0,NaN,11/9/2022
New 2023 GMC Sierra 2500 Denali,90385,New,2023,0,NaN,11/9/2022
New 2023 GMC Sierra 1500 Denali Ultimate,89785,New,2023,0,NaN,11/9/2022
New 2023 Audi Q8 Prestige,89765,New,2023,0,NaN,11/9/2022
New 2023 GMC Yukon XL Denali,89600,New,2023,0,NaN,11/9/2022
New 2022 Ford F250 4x4 Crew Cab Super Duty,89155,New,2022,0,NaN,11/9/2022
Used 2013 Ford Explorer FWD,12055,Used,2013,"11,027 miles",NaN,11/10/2022
Certified 2021 Nissan Rogue SL,34995,Certified,2021,0,NaN,11/10/2022
Used 2020 Chevrolet Suburban LT,43988,Used,2020,793 miles,NaN,11/10/2022
Used 2022 Porsche 911 Turbo S,305000,Used,2022,"10,165 miles",NaN,11/10/2022
Certified 2022 Mercedes-Benz Maybach S 580 4MATIC,224941,Certified,2022,0,NaN,11/10/2022
Used 2017 Mercedes-Benz G 550 Squared,169982,Used,2017,"7,500 miles",NaN,11/10/2022
New 2023 BMW M8,151145,New,2023,0,NaN,11/10/2022
Used 2022 Tesla Model X Plaid,140000,Used,2022,"5,025 miles",NaN,11/10/2022
Used 2017 Nissan Titan S,29883,Used,2017,"2,257 miles",NaN,11/10/2022
New 2023 Mercedes-Benz S 500 4MATIC,120710,New,2023,0,NaN,11/10/2022
New 2023 BMW M850i xDrive Convertible,115395,New,2023,0,NaN,11/10/2022
Used 2022 Audi e-tron GT Prestige,114982,Used,2022,0,NaN,11/10/2022
New 2023 Audi SQ8 Prestige,112565,New,2023,0,NaN,11/10/2022
New 2022 Lincoln Navigator Black Label,110800,New,2022,0,NaN,11/10/2022
New 2023 Audi e-tron Prestige,105780,New,2023,0,NaN,11/10/2022
Used 2021 Ford Bronco First Edition,103941,Used,2021,0,NaN,11/10/2022
New 2022 Lincoln Navigator L Reserve,102370,New,2022,0,NaN,11/10/2022
New 2023 Audi SQ7 Prestige,102230,New,2023,0,NaN,11/10/2022
New 2022 RAM 3500 Laramie Limited,99710,New,2022,0,NaN,11/10/2022
New 2022 Lincoln Navigator L Reserve,95025,New,2022,0,NaN,11/10/2022
New 2023 Mercedes-Benz GLS 450 4MATIC,93095,New,2023,0,NaN,11/10/2022
New 2023 Cadillac CT5 V,92910,New,2023,0,NaN,11/10/2022
New 2023 Maserati Ghibli GT,92195,New,2023,0,NaN,11/10/2022
New 2023 Volvo XC90 T8 Ultimate,89765,New,2023,0,NaN,11/10/2022
New 2023 GMC Yukon XL Denali,89475,New,2023,0,NaN,11/10/2022
Used 2021 Tesla Model S Long Range,88980,Used,2021,0,NaN,11/10/2022
New 2023 GMC Sierra 2500 Denali,88295,New,2023,0,NaN,11/10/2022
New 2023 GMC Sierra 2500 Denali,88145,New,2023,0,NaN,11/10/2022
New 2023 BMW X6 xDrive40i,87680,New,2023,0,NaN,11/10/2022
Used 2013 Ford Explorer FWD,11088,Used,2013,"32,535 miles",NaN,11/12/2022
Used 2017 Toyota Prius Four,29488,Used,2017,"8,224 miles",NaN,11/12/2022
Used 2020 Nissan Leaf SV Plus,31452,Used,2020,"16,123 miles",NaN,11/12/2022
New 2023 Audi S8,124980,New,2023,0,NaN,11/12/2022
New 2023 BMW iX xDrive50,96195,New,2023,0,NaN,11/12/2022
New 2023 BMW iX xDrive50,95195,New,2023,0,NaN,11/12/2022
New 2023 Audi RS 5 Sportback,92185,New,2023,0,NaN,11/12/2022
Used 2021 Ford F350 4x4 Crew Cab DRW Super Duty,91988,Used,2021,0,NaN,11/12/2022
Used 2016 Lincoln MKX Reserve,23656,Used,2016,0,NaN,11/12/2022
New 2023 BMW M550i xDrive,91595,New,2023,0,NaN,11/12/2022
New 2023 Audi e-tron Chronos,89775,New,2023,0,NaN,11/12/2022
New 2023 BMW X3,89245,New,2023,0,NaN,11/12/2022
New 2023 GMC Sierra 2500 Denali,88720,New,2023,0,NaN,11/12/2022
New 2023 GMC Sierra 2500 Denali,88145,New,2023,0,NaN,11/12/2022
New 2023 GMC Sierra 2500 Denali,88145,New,2023,0,NaN,11/12/2022
New 2022 Jeep Wagoneer Series III,86857,New,2022,0,NaN,11/12/2022
New 2023 BMW X6 xDrive40i,84770,New,2023,0,NaN,11/12/2022
New 2023 Audi RS 5 Sportback,84390,New,2023,0,NaN,11/12/2022
New 2023 Chevrolet Silverado 2500 High Country,79605,New,2023,0,NaN,11/12/2022
New 2022 Ford Bronco Raptor,79510,New,2022,0,NaN,11/12/2022
New 2023 GMC Sierra 1500 Denali,76000,New,2023,0,NaN,11/12/2022
New 2023 BMW X5 xDrive45e,74645,New,2023,0,NaN,11/12/2022
New 2023 Chevrolet Silverado 1500 ZR2,74055,New,2023,0,NaN,11/12/2022
Used 2022 Lexus GX 460 Luxury,73995,Used,2022,0,NaN,11/12/2022
Used 2020 Porsche Cayenne,72432,Used,2020,0,NaN,11/12/2022
New 2022 Ford F250 XLT,71735,New,2022,0,NaN,11/12/2022
New 2023 BMW X5 sDrive40i,70945,New,2023,0,NaN,11/12/2022
New 2023 Audi Q7 3.0T Premium Plus,70855,New,2023,0,NaN,11/12/2022
New 2023 Audi Q7 3.0T Premium Plus,69730,New,2023,0,NaN,11/12/2022
Used 2014 Ford Edge SEL,"14,707",Used,2014,"74,798 miles",Ford,11/13/2022
Used 2015 Nissan Titan SV,"23,838",Used,2015,"43,857 miles",Nissan,11/13/2022
Used 2019 Audi A6 3.0T Premium Plus,"41,980",Used,2019,"9,271 miles",Audi,11/13/2022
Used 2018 Bentley Flying Spur W12,"155,358",Used,2018,"3,800 miles",Bentley,11/13/2022
Used 2022 Audi e-tron GT Premium Plus,"106,980",Used,2022,"45,801 miles",Audi,11/13/2022
New 2023 BMW X6 M50i,"101,595",New,2023,0,BMW,11/13/2022
New 2023 GMC Sierra 2500 Denali,"90,025",New,2023,0,GMC,11/13/2022
New 2023 BMW X7 xDrive40i,"88,545",New,2023,0,BMW,11/13/2022
Used 2020 Toyota Camry SE,"23,025",Used,2020,"35,402 miles",Toyota,11/13/2022
New 2023 GMC Sierra 3500 Denali,"87,070",New,2023,0,GMC,11/13/2022
New 2023 GMC Sierra 2500 AT4,"85,180",New,2023,0,GMC,11/13/2022
Used 2022 GMC Sierra 2500 AT4,"80,991",Used,2022,0,GMC,11/13/2022
New 2022 GMC Sierra 1500 Denali,"76,165",New,2022,0,GMC,11/13/2022
New 2022 GMC Sierra 1500 Denali,"76,020",New,2022,0,GMC,11/13/2022
New 2023 BMW X5 sDrive40i,"75,145",New,2023,0,BMW,11/13/2022
New 2023 GMC Yukon SLT,"74,965",New,2023,0,GMC,11/13/2022
New 2023 GMC Sierra 1500 AT4,"72,620",New,2023,0,GMC,11/13/2022
New 2023 BMW X5 sDrive40i,"69,095",New,2023,0,BMW,11/13/2022
New 2022 Ford F150 Lariat,"67,200",New,2022,0,Ford,11/13/2022
New 2023 BMW X5 sDrive40i,"65,295",New,2023,0,BMW,11/13/2022
Used 2015 Alfa Romeo 4C Coupe,"58,500",Used,2015,0,Alfa,11/13/2022
Used 2015 Alfa Romeo 4C Coupe,"58,500",Used,2015,0,Romeo,11/13/2022
New 2023 BMW X3 xDrive30i,"54,015",New,2023,0,BMW,11/13/2022
New 2023 BMW X3 sDrive30i,"52,640",New,2023,0,BMW,11/13/2022
Used 2007 Porsche 911 Carrera S,"51,990",Used,2007,0,Porsche,11/13/2022
Used 2020 Lexus NX 300h AWD,"51,888",Used,2020,0,Lexus,11/13/2022
Used 2019 RAM 1500 Laramie Longhorn,"50,995",Used,2019,0,,11/13/2022
New 2023 Nissan Pathfinder Platinum,"50,935",New,2023,0,Nissan,11/13/2022
New 2023 Toyota 4Runner SR5 Premium,"50,680",New,2023,0,Toyota,11/13/2022
New 2023 Toyota Highlander Limited,"49,807",New,2023,0,Toyota,11/13/2022
Used 2008 Jeep Grand Cherokee Laredo,"7,335",Used,2008,"8,101 miles",Jeep,2022-11-19
Used 2022 Toyota RAV4 XLE Premium,"37,900",Used,2022,"5,307 miles",Toyota,2022-11-19
Certified 2022 INFINITI QX50 Sensory,"46,992",Certified,2022,0,,2022-11-19
Used 2022 Audi RS e-tron GT,"149,982",Used,2022,"26,820 miles",Audi,2022-11-19
New 2023 BMW M8 Coupe,"147,285",New,2023,0,BMW,2022-11-19
New 2023 Cadillac Escalade ESV Sport Platinum,"142,480",New,2023,0,Cadillac,2022-11-19
New 2023 Mercedes-Benz EQS 580 4MATIC SUV,"134,730",New,2023,0,Mercedes-Benz,2022-11-19
Used 2019 Mercedes-Benz AMG GT 63,"114,558",Used,2019,"32,466 miles",Mercedes-Benz,2022-11-19
Used 2018 Kia Sorento FWD V6,"15,999",Used,2018,"5,388 miles",Kia,2022-11-19
Used 2021 Mercedes-Benz GLS 580 4MATIC,"112,982",Used,2021,"21,784 miles",Mercedes-Benz,2022-11-19
Used 2018 Porsche 911 Carrera S,"111,990",Used,2018,0,Porsche,2022-11-19
Used 2017 Porsche 911 Coupe,"109,891",Used,2017,0,Porsche,2022-11-19
New 2023 GMC Yukon Denali,"101,755",New,2023,0,GMC,2022-11-19
New 2022 RAM 1500 TRX,"98,565",New,2022,0,,2022-11-19
Used 2020 Chevrolet Corvette Stingray Premium Cpe,"91,558",Used,2020,0,Chevrolet,2022-11-19
New 2023 GMC Sierra 3500 Denali,"91,485",New,2023,0,GMC,2022-11-19
New 2023 Jeep Wrangler Unlimited Rubicon 392,"90,820",New,2023,0,Jeep,2022-11-19
New 2023 Ford F150 Raptor,"89,380",New,2023,0,Ford,2022-11-19
New 2022 RAM 3500 Laramie,"89,015",New,2022,0,,2022-11-19
New 2023 GMC Sierra 2500 Denali,"86,780",New,2023,0,GMC,2022-11-19
New 2023 GMC Sierra 2500 Denali,"86,280",New,2023,0,GMC,2022-11-19
New 2023 GMC Sierra 2500 Denali,"85,680",New,2023,0,GMC,2022-11-19
New 2023 Lincoln Aviator Black Label,"85,675",New,2023,0,Lincoln,2022-11-19
New 2023 GMC Yukon XL SLT,"85,110",New,2023,0,GMC,2022-11-19
Used 2021 BMW X6 M50i,"85,000",Used,2021,0,BMW,2022-11-19
New 2023 GMC Sierra 2500 SLT,"83,125",New,2023,0,GMC,2022-11-19
New 2023 Chevrolet Tahoe High Country,"82,880",New,2023,0,Chevrolet,2022-11-19
New 2022 Chevrolet Silverado 2500 High Country,"81,900",New,2022,0,Chevrolet,2022-11-19
New 2023 GMC Yukon Denali,"81,715",New,2023,0,GMC,2022-11-19
Used 2011 Ford Escape XLT,"5,982",Used,2011,"29,245 miles",Ford,2022-11-23
Used 2009 Jeep Wrangler X,"22,590",Used,2009,"23,862 miles",Jeep,2022-11-23
Used 2019 Toyota C-HR Limited,"25,495",Used,2019,"14,636 miles",Toyota,2022-11-23
New 2022 Bentley Bentayga,"251,445",New,2022,0,Bentley,2022-11-23
Used 2021 Audi RS Q8,"129,555",Used,2021,"79,707 miles",Audi,2022-11-23
Used 2019 Land Rover Range Rover Autobiography,"109,891",Used,2019,330 miles,Land Rover,2022-11-23
Used 2019 Land Rover Range Rover Autobiography,"109,891",Used,2019,330 miles,Rover,2022-11-23
New 2022 Lincoln Navigator Reserve,"98,430",New,2022,0,Lincoln,2022-11-23
New 2022 Lincoln Navigator Reserve,"97,130",New,2022,0,Lincoln,2022-11-23
Used 2015 Ford Mustang GT Premium,"26,295",Used,2015,"12,985 miles",Ford,2022-11-23
New 2023 Chevrolet Corvette Stingray Premium Cpe,"89,650",New,2023,0,Chevrolet,2022-11-23
New 2023 Chevrolet Silverado 3500 High Country,"87,770",New,2023,0,Chevrolet,2022-11-23
New 2022 Ford F250 Platinum,"87,485",New,2022,0,Ford,2022-11-23
Used 2022 Dodge Charger SRT Hellcat,"87,414",Used,2022,0,Dodge,2022-11-23
Used 2022 Dodge Charger SRT Hellcat,"87,414",Used,2022,0,SRT,2022-11-23
New 2022 Ford F250 King Ranch,"87,200",New,2022,0,Ford,2022-11-23
New 2022 Ford F250 Platinum,"87,150",New,2022,0,Ford,2022-11-23
New 2022 Ford F250 Platinum,"86,820",New,2022,0,Ford,2022-11-23
New 2022 Ford F250 King Ranch,"86,570",New,2022,0,Ford,2022-11-23
Used 2022 Land Rover Range Rover Sport HSE Silver Edition,"85,891",Used,2022,0,Land Rover,2022-11-23
Used 2022 Land Rover Range Rover Sport HSE Silver Edition,"85,891",Used,2022,0,Rover,2022-11-23
New 2023 GMC Sierra 2500 AT4,"85,770",New,2023,0,GMC,2022-11-23
New 2023 Lincoln Aviator Black Label,"84,875",New,2023,0,Lincoln,2022-11-23
New 2022 Ford F250 Lariat,"82,975",New,2022,0,Ford,2022-11-23
New 2023 Lincoln Aviator Black Label,"82,440",New,2023,0,Lincoln,2022-11-23
New 2022 Jeep Grand Cherokee Summit,"81,875",New,2022,0,Jeep,2022-11-23
New 2022 GMC Sierra 1500 Denali Ultimate,"81,845",New,2022,0,GMC,2022-11-23
Used 2020 Land Rover Range Rover,"80,970",Used,2020,0,Land Rover,2022-11-23
Used 2020 Land Rover Range Rover,"80,970",Used,2020,0,Rover,2022-11-23
Used 2020 Land Rover Range Rover Sport HST,"80,408",Used,2020,0,Land Rover,2022-11-23
Used 2020 Land Rover Range Rover Sport HST,"80,408",Used,2020,0,Rover,2022-11-23
Used 2021 Mercedes-Benz GLE 580 4MATIC,"79,990",Used,2021,0,Mercedes-Benz,2022-11-23
New 2022 RAM 1500 Limited,"79,335",New,2022,0,,2022-11-23
New 2022 Ford F350 4x4 Crew Cab Super Duty,"79,150",New,2022,0,Ford,2022-11-23
Used 2013 Chevrolet Cruze LT,"8,008",Used,2013,0 miles,Chevrolet,2022-12-02
New 2023 GMC Acadia SLT,"41,885",New,2023,0,GMC,2022-12-02
Used 2021 Ford F150 Lariat,"63,488",Used,2021,"4,908 miles",Ford,2022-12-02
Used 2023 Land Rover Range Rover SE,"193,888",Used,2023,"16,129 miles",Land Rover,2022-12-02
Used 2023 Land Rover Range Rover SE,"193,888",Used,2023,"16,129 miles",Rover,2022-12-02
Used 2015 Porsche 911 GT3,"144,888",Used,2015,"1,156 miles",Porsche,2022-12-02
New 2023 Cadillac Escalade Sport Platinum,"139,980",New,2023,0,Cadillac,2022-12-02
New 2023 Audi e-tron GT Prestige,"121,290",New,2023,0,Audi,2022-12-02
Used 2022 Cadillac CT5 V Blackwing,"118,000",Used,2022,"8,312 miles",Cadillac,2022-12-02
Used 2020 RAM 1500 Rebel,"44,736",Used,2020,"18,472 miles",,2022-12-02
Used 2022 Cadillac Escalade Sport,"116,900",Used,2022,"24,975 miles",Cadillac,2022-12-02
Used 2021 Jeep Gladiator Sport,"114,880",Used,2021,"4,890 miles",Jeep,2022-12-02
New 2022 Lincoln Navigator L Black Label,"113,645",New,2022,0,Lincoln,2022-12-02
Used 2021 Tesla Model S Plaid,"112,800",Used,2021,"31,736 miles",Tesla,2022-12-02
Used 2022 Ford F450 King Ranch,"104,995",Used,2022,0,Ford,2022-12-02
Certified 2022 Mercedes-Benz EQS 450+ Sedan,"101,884",Certified,2022,0,Mercedes-Benz,2022-12-02
New 2023 Audi Q8 Prestige,"100,185",New,2023,0,Audi,2022-12-02
New 2022 RAM 3500 Longhorn,"98,905",New,2022,0,,2022-12-02
Used 2022 Ford F250 Platinum,"97,981",Used,2022,0,Ford,2022-12-02
New 2022 RAM 3500 Laramie Longhorn,"97,420",New,2022,0,,2022-12-02
New 2021 Lincoln Navigator L Reserve,"92,600",New,2021,0,Lincoln,2022-12-02
New 2022 RAM 2500 Laramie Limited,"91,530",New,2022,0,,2022-12-02
New 2023 Volvo XC90 T8 Ultimate,"91,085",New,2023,0,Volvo,2022-12-02
New 2023 Ford F150 Lightning,"88,224",New,2023,0,Ford,2022-12-02
New 2023 GMC Sierra 2500 Denali,"87,805",New,2023,0,GMC,2022-12-02
New 2023 GMC Sierra 2500 Denali,"87,655",New,2023,0,GMC,2022-12-02
Used 2021 Mercedes-Benz AMG GT 53,"87,560",Used,2021,0,Mercedes-Benz,2022-12-02
New 2023 GMC Sierra 2500 AT4,"85,770",New,2023,0,GMC,2022-12-02
New 2023 Chevrolet Silverado 3500 High Country,"85,560",New,2023,0,Chevrolet,2022-12-02
New 2023 GMC Sierra 2500 AT4,"85,250",New,2023,0,GMC,2022-12-02
Used 2013 Chevrolet Cruze LT,"8,008",Used,2013,0 miles,Chevrolet,2022-12-02
New 2023 GMC Acadia SLT,"41,885",New,2023,0,GMC,2022-12-02
Used 2021 Ford F150 Lariat,"63,488",Used,2021,"4,908 miles",Ford,2022-12-02
Used 2023 Land Rover Range Rover SE,"193,888",Used,2023,"16,129 miles",Land Rover,2022-12-02
Used 2023 Land Rover Range Rover SE,"193,888",Used,2023,"16,129 miles",Rover,2022-12-02
Used 2015 Porsche 911 GT3,"144,888",Used,2015,"1,156 miles",Porsche,2022-12-02
New 2023 Cadillac Escalade Sport Platinum,"139,980",New,2023,0,Cadillac,2022-12-02
New 2023 Audi e-tron GT Prestige,"121,290",New,2023,0,Audi,2022-12-02
Used 2022 Cadillac CT5 V Blackwing,"118,000",Used,2022,"8,312 miles",Cadillac,2022-12-02
Used 2020 RAM 1500 Rebel,"44,736",Used,2020,"18,472 miles",,2022-12-02
Used 2022 Cadillac Escalade Sport,"116,900",Used,2022,"24,975 miles",Cadillac,2022-12-02
Used 2021 Jeep Gladiator Sport,"114,880",Used,2021,"4,890 miles",Jeep,2022-12-02
New 2022 Lincoln Navigator L Black Label,"113,645",New,2022,0,Lincoln,2022-12-02
Used 2021 Tesla Model S Plaid,"112,800",Used,2021,"31,736 miles",Tesla,2022-12-02
Used 2022 Ford F450 King Ranch,"104,995",Used,2022,0,Ford,2022-12-02
Certified 2022 Mercedes-Benz EQS 450+ Sedan,"101,884",Certified,2022,0,Mercedes-Benz,2022-12-02
New 2023 Audi Q8 Prestige,"100,185",New,2023,0,Audi,2022-12-02
New 2022 RAM 3500 Longhorn,"98,905",New,2022,0,,2022-12-02
Used 2022 Ford F250 Platinum,"97,981",Used,2022,0,Ford,2022-12-02
New 2022 RAM 3500 Laramie Longhorn,"97,420",New,2022,0,,2022-12-02
New 2021 Lincoln Navigator L Reserve,"92,600",New,2021,0,Lincoln,2022-12-02
New 2022 RAM 2500 Laramie Limited,"91,530",New,2022,0,,2022-12-02
New 2023 Volvo XC90 T8 Ultimate,"91,085",New,2023,0,Volvo,2022-12-02
New 2023 Ford F150 Lightning,"88,224",New,2023,0,Ford,2022-12-02
New 2023 GMC Sierra 2500 Denali,"87,805",New,2023,0,GMC,2022-12-02
New 2023 GMC Sierra 2500 Denali,"87,655",New,2023,0,GMC,2022-12-02
Used 2021 Mercedes-Benz AMG GT 53,"87,560",Used,2021,0,Mercedes-Benz,2022-12-02
New 2023 GMC Sierra 2500 AT4,"85,770",New,2023,0,GMC,2022-12-02
New 2023 Chevrolet Silverado 3500 High Country,"85,560",New,2023,0,Chevrolet,2022-12-02
New 2023 GMC Sierra 2500 AT4,"85,250",New,2023,0,GMC,2022-12-02
Used 2013 Ford Escape SEL,"12,200",Used,2013,"57,649 miles",Ford,2022-12-16
Used 2022 Acura MDX SH-AWD,"46,711",Used,2022,"18,990 miles",Acura,2022-12-16
Used 2019 Lexus IS 300,"30,995",Used,2019,"36,663 miles",Lexus,2022-12-16
Used 2019 Mercedes-Benz G 63 AMG 4MATIC,"165,999",Used,2019,"45,603 miles",Mercedes-Benz,2022-12-16
New 2023 Porsche 911 Carrera S,"156,440",New,2023,0,Porsche,2022-12-16
Used 2019 Bentley Bentayga,"115,881",Used,2019,"9,100 miles",Bentley,2022-12-16
New 2023 BMW X7 M60i,"113,795",New,2023,0,BMW,2022-12-16
New 2023 BMW 740i,"112,095",New,2023,0,BMW,2022-12-16
Used 2017 Land Rover Range Rover Sport HSE,"35,645",Used,2017,0,Land Rover,2022-12-16
Used 2017 Land Rover Range Rover Sport HSE,"35,645",Used,2017,0,Rover,2022-12-16
New 2023 GMC Yukon Denali Ultimate,"105,000",New,2023,0,GMC,2022-12-16
New 2023 GMC Yukon XL Denali Ultimate,"102,540",New,2023,0,GMC,2022-12-16
New 2023 Audi SQ8 Premium Plus,"101,265",New,2023,0,Audi,2022-12-16
New 2023 GMC Yukon Denali Ultimate,"100,180",New,2023,0,GMC,2022-12-16
New 2023 BMW iX xDrive50,"98,945",New,2023,0,BMW,2022-12-16
New 2023 BMW iX xDrive50,"98,445",New,2023,0,BMW,2022-12-16
New 2023 BMW X5 M50i,"95,295",New,2023,0,BMW,2022-12-16
Used 2022 Porsche Cayenne Coupe,"95,000",Used,2022,0,Porsche,2022-12-16
New 2023 BMW X5 M50i,"93,395",New,2023,0,BMW,2022-12-16
New 2023 Jeep Wrangler Unlimited Rubicon 392,"91,935",New,2023,0,Jeep,2022-12-16
New 2022 Ford F250 4x4 Crew Cab Super Duty,"90,752",New,2022,0,Ford,2022-12-16
New 2023 GMC Sierra 2500 Denali,"90,698",New,2023,0,GMC,2022-12-16
Used 2020 Chevrolet Corvette Stingray Premium Conv,"89,955",Used,2020,0,Chevrolet,2022-12-16
New 2023 GMC Sierra 3500 Denali,"89,542",New,2023,0,GMC,2022-12-16
Used 2021 Mercedes-Benz AMG GT 43,"89,380",Used,2021,0,Mercedes-Benz,2022-12-16
New 2023 Ford F150 Raptor,"87,770",New,2023,0,Ford,2022-12-16
New 2023 BMW X6 xDrive40i,"87,390",New,2023,0,BMW,2022-12-16
New 2023 GMC Sierra 1500 Denali Ultimate,"87,315",New,2023,0,GMC,2022-12-16
New 2022 Ford F450 Lariat,"86,745",New,2022,0,Ford,2022-12-16
Used 2017 Ford Focus ST,"15,373",Used,2017,"71,503 miles",Ford,2023-01-15
Used 2017 Ford Edge Titanium,"18,995",Used,2017,"60,527 miles",Ford,2023-01-15
Used 2021 Jeep Wrangler Unlimited Sport,"33,560",Used,2021,"12,731 miles",Jeep,2023-01-15
Used 2020 Porsche Taycan 4S,"124,000",Used,2020,"10,366 miles",Porsche,2023-01-15
New 2023 BMW 760i xDrive,"121,730",New,2023,0,BMW,2023-01-15
Used 2022 Cadillac Escalade Sport,"119,988",Used,2022,"41,244 miles",Cadillac,2023-01-15
Used 2021 Tesla Model S Plaid,"113,990",Used,2021,"3,545 miles",Tesla,2023-01-15
New 2023 GMC Sierra 3500 AT4,"90,395",New,2023,0,GMC,2023-01-15
Used 2013 MAZDA MX-5 Miata Club,"20,990",Used,2013,"175,463 miles",,2023-01-15
New 2023 Audi Q8 Prestige,"86,085",New,2023,0,Audi,2023-01-15
New 2023 Ford Expedition Max Platinum,"83,755",New,2023,0,Ford,2023-01-15
New 2023 GMC Sierra 1500 Denali,"75,300",New,2023,0,GMC,2023-01-15
New 2023 BMW X5 xDrive40i,"75,295",New,2023,0,BMW,2023-01-15
Used 2021 BMW M3,"74,996",Used,2021,0,BMW,2023-01-15
New 2023 RAM 1500 Limited,"74,705",New,2023,0,,2023-01-15
New 2023 Ford F350 4x4 Crew Cab DRW Super Duty,"74,405",New,2023,0,Ford,2023-01-15
New 2023 Ford F350 4x4 Crew Cab DRW Super Duty,"74,405",New,2023,0,Ford,2023-01-15
Used 2022 Ford F250 Lariat,"74,388",Used,2022,0,Ford,2023-01-15
New 2023 Mercedes-Benz GLE 350 4MATIC,"73,845",New,2023,0,Mercedes-Benz,2023-01-15
New 2023 BMW X5 sDrive40i,"72,995",New,2023,0,BMW,2023-01-15
